id,punkte,alter,geburtsjahr,geschlecht,bildung_eltern,alkohol,gesundheit,sozial,unterstuetzung,wiederholungen,lernzeit,fehltage,haarfarbe
251,NA,18,2002,w,mittel,1,3,3.5,nein,0,9.5,0,1
252,NA,18,2002,m,mittel,2.5,3,3.5,nein,1,1.8,7,1
253,NA,17,2003,m,mittel,5,4,4.5,nein,0,1.8,8,1
254,NA,16,2004,w,mittel,1,3,1.5,ja,0,2.2,2,1
255,NA,17,2003,m,mittel,2,5,3.5,nein,0,1.4,4,1
256,NA,17,2003,w,hoch,1.5,4,3.5,nein,0,6.4,4,1
257,NA,16,2004,w,mittel,3,2,4.5,nein,0,4.6,2,2
258,NA,17,2003,w,mittel,2,5,4.5,nein,0,6.5,16,1
259,NA,18,2002,m,gering,4.5,3,3,ja,0,2.9,14,1
260,NA,18,2002,m,gering,3.5,5,4,nein,1,0.9,4,3
261,NA,17,2003,m,gering,3,5,3,nein,0,1.7,0,1
262,NA,17,2003,w,mittel,1.5,3,3,nein,0,6,0,5
263,NA,19,2001,w,gering,2,3,4,nein,1,8.8,4,5
264,NA,17,2003,w,hoch,1,1,3,nein,0,3.8,0,1
265,NA,18,2002,m,mittel,4,2,4.5,nein,1,2.4,0,4
266,NA,17,2003,m,hoch,2,2,4.5,ja,0,2.5,14,3
267,NA,18,2002,m,hoch,2.5,2,3.5,nein,0,3.9,4,3
268,NA,16,2004,w,mittel,2,4,3.5,ja,0,3.6,6,1
269,NA,18,2002,w,hoch,1,4,3,ja,1,3.1,15,4
270,NA,18,2002,m,mittel,3,5,4.5,nein,0,11.4,2,1
271,NA,17,2003,m,mittel,3.5,5,4.5,nein,0,5,2,1
272,NA,18,2002,m,mittel,3,5,4,nein,1,2.4,15,1
273,NA,17,2003,w,gering,1,3,1.5,nein,0,3.5,2,1
274,NA,18,2002,w,hoch,1,1,4.5,nein,0,9.2,0,1
275,NA,17,2003,m,mittel,2,3,4,nein,0,3.1,2,1
276,NA,16,2004,m,mittel,1,3,5,nein,0,0.1,0,1
277,NA,17,2003,w,mittel,2.5,1,4,nein,0,2.2,17,3
278,NA,18,2002,m,mittel,1.5,4,3.5,nein,0,8.4,9,1
279,NA,19,2001,w,mittel,3,5,4.5,nein,2,3.7,15,2
280,NA,18,2002,w,hoch,2,4,4,nein,0,2.4,8,2
281,NA,18,2002,w,mittel,2.5,5,4,nein,0,4.8,0,2
282,NA,17,2003,w,gering,1,3,3.5,nein,0,7.9,6,2
283,NA,17,2003,w,mittel,2.5,3,3,nein,0,0.1,3,3
284,NA,17,2003,m,mittel,5,4,3,nein,0,3.6,4,1
285,NA,17,2003,m,mittel,1,3,3.5,nein,0,2.6,2,3
286,NA,17,2003,w,gering,1.5,3,2.5,nein,0,4.7,0,1
287,NA,17,2003,w,mittel,2.5,5,4,ja,0,2.4,6,4
288,NA,17,2003,m,hoch,2.5,4,3,nein,0,4.7,2,1
289,NA,18,2002,m,mittel,3,3,3.5,nein,0,2.4,4,1
290,NA,17,2003,w,gering,2,1,4,nein,0,2.4,4,1
291,NA,16,2004,m,gering,1,5,2.5,nein,0,3.5,18,1
292,NA,18,2002,w,gering,1,5,1,nein,1,4.5,0,4
293,NA,16,2004,w,mittel,1,4,3.5,ja,0,3.1,0,1
294,NA,19,2001,m,gering,3,5,4,nein,1,0.3,4,1
295,NA,18,2002,w,mittel,1,1,4,nein,0,11,7,3
296,NA,19,2001,w,gering,1,2,2,nein,0,3.5,20,3
297,NA,17,2003,w,gering,1,5,4,nein,1,5.1,0,2
298,NA,17,2003,m,hoch,4.5,3,5,nein,0,3,13,1
299,NA,17,2003,w,mittel,2.5,5,3,nein,0,5.6,1,1
300,NA,19,2001,m,mittel,1,3,4,nein,1,3.6,20,5
301,NA,16,2004,m,mittel,2,2,4,ja,0,2.4,6,3
302,NA,17,2003,w,gering,1.5,3,3,nein,0,6.3,10,1
303,NA,16,2004,w,mittel,2,4,2.5,nein,3,3.2,5,1
304,NA,17,2003,w,mittel,1.5,5,2,nein,0,3.3,2,5
305,NA,17,2003,w,mittel,2.5,2,3,nein,0,3.8,0,5
306,NA,18,2002,w,gering,1,5,4,nein,1,2,12,1
307,NA,18,2002,m,mittel,2,5,5,nein,0,3.4,10,1
308,NA,18,2002,w,mittel,1,4,4,nein,0,11.3,0,1
309,NA,19,2001,m,gering,3,2,4.5,nein,3,4.8,8,1
310,NA,18,2002,m,hoch,2,3,3.5,nein,0,6.1,3,5
311,NA,17,2003,w,hoch,1.5,3,3,nein,0,0.3,12,1
312,NA,19,2001,w,hoch,2.5,2,3,nein,0,3.2,0,3
313,NA,16,2004,m,gering,2,3,2.5,nein,0,1.6,0,1
314,NA,18,2002,w,mittel,2,2,2.5,nein,0,4.9,21,1
315,NA,18,2002,m,gering,2.5,5,3.5,nein,1,3.9,2,5
316,NA,16,2004,w,hoch,1,5,3.5,nein,0,8.2,0,2
317,NA,17,2003,w,gering,2,1,4,nein,0,1.5,14,1
318,NA,18,2002,w,mittel,2.5,1,4,nein,0,5.7,7,1
319,NA,18,2002,w,mittel,1,3,3.5,nein,0,11.5,0,1
320,NA,17,2003,m,hoch,2,5,2.5,nein,0,0.6,0,1
321,NA,18,2002,m,hoch,2,1,1.5,nein,0,1.2,5,2
322,NA,18,2002,m,hoch,2.5,3,3.5,nein,0,1.7,22,1
323,NA,17,2003,w,mittel,1,2,2,nein,0,10.6,0,1
324,NA,18,2002,m,mittel,1,3,3,nein,0,3.5,2,5
325,NA,17,2003,w,mittel,1,3,2.5,nein,0,10.2,6,1
326,NA,17,2003,w,mittel,1.5,4,2,nein,1,4.5,0,1
327,NA,19,2001,w,mittel,1.5,3,3.5,nein,0,12.6,10,3
328,NA,18,2002,m,mittel,3.5,3,4,nein,1,0.2,14,1
329,NA,20,2000,w,mittel,1,3,4,nein,2,6.2,4,1
330,NA,18,2002,w,gering,1.5,3,4.5,nein,0,4.6,0,1
331,NA,19,2001,w,mittel,1.5,5,4,nein,1,9,12,1
332,NA,17,2003,w,mittel,1,4,3,nein,0,7.5,6,1
333,NA,16,2004,m,mittel,2,2,4,nein,0,5.1,10,1
334,NA,18,2002,w,mittel,2,2,4.5,nein,0,10.4,4,3
335,NA,18,2002,w,mittel,1.5,4,4,nein,0,0.1,0,4
336,NA,18,2002,w,mittel,1,5,2.5,nein,0,3.7,75,1
337,NA,17,2003,m,gering,1.5,4,3.5,nein,0,3.2,2,3
338,NA,17,2003,w,mittel,1,1,3.5,nein,0,4.5,2,3
339,NA,17,2003,m,mittel,1,1,3,nein,0,4.6,4,1
340,NA,18,2002,w,mittel,2,4,4,nein,0,7.8,2,2
341,NA,16,2004,m,hoch,3,1,4,nein,0,4,2,1
342,NA,16,2004,w,gering,1,5,3,nein,0,1.6,20,5
343,NA,18,2002,w,hoch,1,4,4,nein,0,3.2,14,1
344,NA,18,2002,w,mittel,1.5,2,4.5,nein,0,3.3,10,1
345,NA,19,2001,m,mittel,1.5,5,3.5,nein,1,3,0,5
346,NA,18,2002,m,mittel,1,3,3.5,nein,0,8.7,1,3
347,NA,18,2002,m,hoch,2,2,3.5,nein,1,3.5,0,1
348,NA,18,2002,w,gering,1.5,4,3,nein,0,8.3,2,1
349,NA,19,2001,w,gering,2,3,3.5,ja,1,4.8,18,1
350,NA,20,2000,m,mittel,1,5,4,nein,0,0.8,0,1
351,NA,18,2002,m,mittel,1.5,1,3.5,nein,0,0.4,8,2
352,NA,19,2001,m,gering,3,5,3,nein,0,0.6,5,1
353,NA,17,2003,w,mittel,1,3,3,nein,0,7.3,8,2
354,NA,19,2001,w,gering,2,3,4,nein,1,3,0,3
355,NA,19,2001,w,mittel,1,3,2.5,nein,2,2.7,4,1
356,NA,17,2003,w,hoch,1.5,5,3.5,nein,0,3.1,4,1
357,NA,17,2003,m,mittel,2.5,3,4,nein,0,4.6,2,3
358,NA,18,2002,m,hoch,2,5,3,nein,0,8.5,0,1
359,NA,17,2003,w,mittel,1,4,3.5,nein,0,10.6,6,1
360,NA,17,2003,w,mittel,2,3,4.5,nein,0,2.9,10,1
361,NA,17,2003,w,mittel,1,3,3.5,nein,0,5.2,0,2
