id,pred
1,8.02
2,7.51
3,7.8
4,3.5
5,6.7
6,7.79
7,7.67
8,11.14
9,6.91
10,9.35
11,8.13
12,5.94
13,10.41
14,6.34
15,5.78
16,2.92
17,4.76
18,5.52
19,5.76
20,7.17
21,7.08
22,9.66
23,9.44
24,7.41
25,6.26
26,6.02
27,9.61
28,7.44
29,12.95
30,9.22
31,9.16
32,10.43
33,7.88
34,6.75
35,5.17
36,9.8
37,5.61
38,5.31
39,7.11
40,10.79
41,9.88
42,9.26
43,4.87
44,11.06
45,8.26
46,12.33
47,11.12
48,8.02
49,8.88
50,8.62
51,2.29
52,11.53
53,9.8
54,6.88
55,6.39
56,13.99
57,9.25
58,9.08
59,11.83
60,4.34
61,9.33
62,7.52
63,7.3
64,11.25
65,8.31
66,7.09
67,12.53
68,9.84
69,8.68
70,5.58
71,4.75
72,9.12
73,7.25
74,4.96
75,8.65
76,8.64
77,9.81
78,9.79
79,11.74
80,11.8
81,12.4
82,9.39
83,7.14
84,8.96
85,8.77
86,19.77
87,8.12
88,7.65
89,6.01
90,9.6
91,5.19
92,11.89
93,11.02
94,11.08
95,6.73
96,5.89
97,6.34
98,11.6
99,11.77
100,8.87
101,7.32
102,10.91
103,9.22
104,12.04
105,10.97
106,9.36
107,6.3
108,6.33
109,9.77
110,11.11
111,8.56
112,11.74
113,12.57
114,7.6
115,8.97
116,10.2
117,10.04
118,9.71
119,9.66
120,14.5
121,8.49
122,12.4
123,7.86
124,10.4
125,8.91
126,9.55
127,10.08
128,10.6
129,6.32
130,7.38
131,6.79
132,9.06
133,10.53
134,15.85
135,11.65
136,11.67
137,9.79
138,6.98
139,7.81
140,11.93
141,10.09
142,9.6
143,6.31
144,9.63
145,9.74
