Berichtsdatum,Anzahl COVID-19-Fälle,Differenz Vortag Fälle,Todesfälle,Differenz Vortag Todesfälle,Fall-Verstorbenen-Anteil,Fälle ohne Todesfälle
2020-02-25T00:00:00Z,16,NA,NA,NA,NA,16
2020-02-26T00:00:00Z,21,5,NA,NA,NA,21
2020-02-27T00:00:00Z,26,5,NA,NA,NA,26
2020-02-28T00:00:00Z,53,27,NA,NA,NA,53
2020-02-29T00:00:00Z,66,13,NA,NA,NA,66
2020-03-01T00:00:00Z,117,51,NA,NA,NA,117
2020-03-02T00:00:00Z,150,33,NA,NA,NA,150
2020-03-03T00:00:00Z,188,38,NA,NA,NA,188
2020-03-04T00:00:00Z,240,52,NA,NA,NA,240
2020-03-05T00:00:00Z,349,109,NA,NA,NA,349
2020-03-06T00:00:00Z,534,185,NA,NA,NA,534
2020-03-07T00:00:00Z,684,150,NA,NA,NA,684
2020-03-08T00:00:00Z,847,163,NA,NA,NA,847
2020-03-09T00:00:00Z,1112,265,2,2,0.0018,1110
2020-03-10T00:00:00Z,1296,184,2,0,0.0015,1294
2020-03-11T00:00:00Z,1567,271,3,1,0.0019,1564
2020-03-12T00:00:00Z,2369,802,5,2,0.0021,2364
2020-03-13T00:00:00Z,3062,693,5,0,0.0016,3057
2020-03-14T00:00:00Z,3795,733,8,3,0.0021,3787
2020-03-15T00:00:00Z,4838,1043,12,4,0.0025,4826
2020-03-16T00:00:00Z,6012,1174,12,0,0.002,6000
2020-03-17T00:00:00Z,7156,1144,12,0,0.0017,7144
2020-03-18T00:00:00Z,8198,1042,12,0,0.0015,8186
2020-03-19T00:00:00Z,10999,2801,20,8,0.0018,10979
2020-03-20T00:00:00Z,13957,2958,31,11,0.0022,13926
2020-03-21T00:00:00Z,16662,2705,47,16,0.0028,16615
2020-03-22T00:00:00Z,18610,1948,55,8,0.003,18555
2020-03-23T00:00:00Z,22672,4062,86,31,0.0038,22586
2020-03-24T00:00:00Z,27436,4764,114,28,0.0042,27322
2020-03-25T00:00:00Z,31554,4118,149,35,0.0047,31405
2020-03-26T00:00:00Z,36508,4954,198,49,0.0054,36310
2020-03-27T00:00:00Z,42288,5780,253,55,0.006,42035
2020-03-28T00:00:00Z,48582,6294,325,72,0.0067,48257
2020-03-29T00:00:00Z,52547,3965,389,64,0.0074,52158
2020-03-30T00:00:00Z,57298,4751,455,66,0.0079,56843
2020-03-31T00:00:00Z,61913,4615,583,128,0.0094,61330
2020-04-01T00:00:00Z,67366,5453,732,149,0.0109,66634
2020-04-02T00:00:00Z,73522,6156,872,140,0.0119,72650
2020-04-03T00:00:00Z,79696,6174,1017,145,0.0128,78679
2020-04-04T00:00:00Z,85778,6082,1158,141,0.0135,84620
2020-04-05T00:00:00Z,91714,5936,1342,184,0.0146,90372
2020-04-06T00:00:00Z,95391,3677,1434,92,0.015,93957
2020-04-07T00:00:00Z,99225,3834,1607,173,0.0162,97618
2020-04-08T00:00:00Z,103228,4003,1861,254,0.018,101367
2020-04-09T00:00:00Z,108202,4974,2107,246,0.0195,106095
2020-04-10T00:00:00Z,113525,5323,2373,266,0.0209,111152
2020-04-11T00:00:00Z,117658,4133,2544,171,0.0216,115114
2020-04-12T00:00:00Z,120479,2821,2673,129,0.0222,117806
2020-04-13T00:00:00Z,123016,2537,2799,126,0.0228,120217
2020-04-14T00:00:00Z,125098,2082,2969,170,0.0237,122129
2020-04-15T00:00:00Z,127584,2486,3254,285,0.0255,124330
2020-04-16T00:00:00Z,130450,2866,3569,315,0.0274,126881
2020-04-17T00:00:00Z,133830,3380,3868,299,0.0289,129962
2020-04-18T00:00:00Z,137439,3609,4110,242,0.0299,133329
2020-04-19T00:00:00Z,139897,2458,4294,184,0.0307,135603
2020-04-20T00:00:00Z,141672,1775,4404,110,0.0311,137268
2020-04-21T00:00:00Z,143457,1785,4598,194,0.0321,138859
2020-04-22T00:00:00Z,145694,2237,4879,281,0.0335,140815
2020-04-23T00:00:00Z,148046,2352,5094,215,0.0344,142952
2020-04-24T00:00:00Z,150383,2337,5321,227,0.0354,145062
2020-04-25T00:00:00Z,152438,2055,5500,179,0.0361,146938
2020-04-26T00:00:00Z,154175,1737,5640,140,0.0366,148535
2020-04-27T00:00:00Z,155193,1018,5750,110,0.0371,149443
2020-04-28T00:00:00Z,156337,1144,5913,163,0.0378,150424
2020-04-29T00:00:00Z,157641,1304,6115,202,0.0388,151526
2020-04-30T00:00:00Z,159119,1478,6288,173,0.0395,152831
2020-05-01T00:00:00Z,160758,1639,6481,193,0.0403,154277
2020-05-02T00:00:00Z,161703,945,6575,94,0.0407,155128
2020-05-03T00:00:00Z,162496,793,6649,74,0.0409,155847
2020-05-04T00:00:00Z,163175,679,6692,43,0.041,156483
