id,punkte,alter,geburtsjahr,geschlecht,bildung_eltern,alkohol,gesundheit,sozial,unterstuetzung,wiederholungen,lernzeit,fehltage,haarfarbe
1,8,NA,2004,w,hoch,2.5,4,3,nein,0,2.1,6,1
2,11.5,NA,2004,m,hoch,1,5,2.5,nein,0,5.2,7,1
3,9.5,NA,2004,m,mittel,3,5,4.5,nein,0,4.4,0,1
4,8.5,NA,2004,w,mittel,2.5,3,3.5,nein,0,3,12,3
5,11.5,NA,2004,m,mittel,2,5,2.5,nein,0,4.3,2,2
6,7.8,NA,2004,w,mittel,1,1,4,nein,0,2.6,0,3
7,12.5,NA,2005,m,hoch,1,5,2.5,nein,0,3.1,0,2
8,13,15,NA,m,mittel,1,1,4.5,nein,0,4.2,0,2
9,6,NA,2005,w,hoch,2.5,5,4,nein,2,3.5,6,1
10,8,NA,2005,m,hoch,3.5,5,3.5,nein,0,3.6,0,1
11,6.8,17,NA,m,gering,3,3,3,nein,0,2.6,4,3
12,2.5,17,NA,m,mittel,3,5,5,nein,0,2.9,0,5
13,13,16,NA,m,mittel,1,5,4,nein,0,6.6,2,1
14,6.8,15,NA,m,gering,3.5,5,4.5,nein,3,1,0,1
15,11,NA,2005,m,hoch,1,5,2.5,nein,0,3.8,4,3
16,2.8,15,NA,w,hoch,1,5,3.5,nein,0,9.2,0,1
17,3.8,16,NA,w,mittel,1,3,4.5,nein,3,4.5,0,5
18,10.2,17,NA,m,gering,3,5,2,nein,0,1.8,8,1
19,9,16,NA,w,mittel,1,2,3.5,nein,0,3.3,10,1
20,2.8,18,NA,m,mittel,1.5,4,3,nein,2,1.7,0,1
21,11.2,16,NA,w,hoch,1,4,5,nein,0,5.1,4,4
22,6,NA,2004,w,mittel,1,3,5,ja,0,9.2,0,2
23,9.8,16,NA,m,gering,4,5,4,nein,1,0.2,6,1
24,5.8,16,NA,w,mittel,1,5,4.5,nein,0,2.3,0,1
25,7,15,NA,w,mittel,1,1,3.5,ja,0,4.5,0,3
26,5.2,NA,2005,w,hoch,1,3,4,ja,1,3.2,2,1
27,4.8,16,NA,m,hoch,5,4,4.5,ja,0,1.1,14,1
28,2,15,NA,w,gering,1.5,4,3.5,nein,0,0.3,0,1
29,28.8,NA,1945,w,mittel,1.5,5,3,nein,0,2.2,4,3
30,10.2,NA,2004,w,hoch,1.5,2,3,nein,0,8,6,1
31,6.8,NA,2005,w,hoch,1.5,2,3,nein,0,2.6,0,1
32,8.5,16,NA,m,gering,1.5,3,3,nein,0,0.1,2,4
33,11.5,16,NA,m,hoch,1.5,5,4.5,nein,0,3.7,2,1
34,3,15,NA,w,mittel,2,5,3,nein,2,5.3,0,1
35,3.2,16,NA,w,mittel,1,4,5,nein,0,3.7,0,1
36,2.8,16,NA,m,mittel,3,2,4,nein,2,0,0,3
37,8,NA,2005,m,mittel,3.5,5,5,nein,1,1.7,6,1
38,6.5,17,NA,w,mittel,2.5,1,4,nein,0,3.3,56,1
39,8,15,NA,w,gering,1,5,3,nein,0,4.4,2,1
40,9,NA,2005,m,hoch,3,5,4,nein,0,1.6,8,1
41,6.8,15,NA,m,mittel,1,1,4,ja,0,4.1,2,1
42,9.5,16,NA,m,gering,2,5,4,nein,1,4.5,0,5
43,10.8,NA,2004,m,mittel,1,5,3,nein,0,10.1,0,2
44,11.5,15,NA,w,gering,1.5,1,3,nein,0,4.7,2,1
45,10,15,NA,m,mittel,1.5,4,3,nein,0,2,6,1
46,10,16,NA,m,mittel,1,5,3.5,nein,0,0.1,0,4
47,11,17,NA,w,mittel,1,5,3,nein,0,2.5,0,1
48,10.5,NA,2005,m,hoch,1,5,3.5,nein,0,1.1,0,4
49,5.8,15,NA,w,mittel,1,3,3.5,ja,0,12.2,8,1
50,12.8,NA,2005,w,mittel,2,1,4.5,nein,0,0.9,4,1
51,9.5,15,NA,m,mittel,2.5,5,5,ja,0,0.9,0,1
52,10.5,NA,2004,w,hoch,1.5,2,4,nein,0,1.8,4,1
53,10.5,16,NA,w,hoch,1,3,3,nein,0,3.7,0,1
54,11,NA,2005,m,mittel,2,5,3.5,nein,0,4.5,2,1
55,5.2,NA,2004,m,hoch,4,5,3.5,nein,0,2.8,18,1
56,10.5,NA,2005,m,mittel,1,1,2.5,nein,0,3.2,0,3
57,5.2,NA,2005,w,mittel,1,5,2,nein,0,0.7,0,5
58,8.2,NA,2004,m,mittel,1,5,4,ja,0,3.2,4,1
59,6.5,NA,2003,m,gering,1,3,2.5,ja,3,0.6,2,1
60,7.8,NA,2005,m,mittel,1.5,3,4,nein,0,2,2,3
61,7.2,NA,2004,w,gering,5,5,5,ja,0,1.2,6,1
62,6.8,18,NA,w,gering,3,4,5,nein,3,1.9,6,1
63,8.5,NA,2005,m,mittel,2,3,2.5,ja,0,1.5,2,1
64,2.2,15,NA,m,mittel,1,5,4,nein,0,4.4,0,1
65,7.8,17,NA,m,mittel,1,2,4,nein,0,3,4,2
66,5.5,NA,2005,w,mittel,1,5,3.5,ja,0,2.6,8,1
67,8,15,NA,w,mittel,1,4,3.5,ja,0,11.2,10,1
68,6.8,NA,2004,w,gering,1,5,4.5,nein,0,3.3,2,1
69,5,17,NA,m,gering,3,5,5,nein,3,3.3,0,1
70,11.8,16,NA,m,mittel,1.5,3,3,nein,0,1.9,2,3
71,10.5,NA,2005,m,hoch,2,5,3.5,nein,0,1.6,2,1
72,8.7,NA,2005,m,mittel,1.5,5,3,nein,0,0.5,2,1
73,8.7,16,NA,m,mittel,1,2,3,nein,1,0.9,16,3
74,12.2,NA,2005,m,mittel,1,4,4,nein,0,6.9,2,1
75,6.2,16,NA,m,mittel,2.5,3,3,nein,0,4.1,10,1
76,4.2,NA,2003,w,hoch,99,1,4,ja,0,NA,6,1
77,8.5,17,NA,w,hoch,1,4,2.5,ja,0,0.4,0,3
78,11.2,16,NA,m,gering,1.5,5,3.5,nein,0,4.8,0,1
79,9.2,15,NA,m,hoch,1,5,4,nein,0,0.4,4,1
80,6.8,16,NA,w,mittel,1,2,3,ja,1,6,0,3
81,12.5,17,NA,w,mittel,2.5,5,3.5,nein,0,2.2,0,3
82,5.2,15,NA,m,mittel,2.5,3,4,ja,2,3.7,6,2
83,7,NA,2004,w,mittel,1,4,3.5,ja,0,4.8,4,1
84,7,NA,2004,w,mittel,1.5,3,3,nein,1,3.7,25,1
85,5.5,NA,2004,w,mittel,2,4,3.5,nein,0,9.7,0,1
86,4.2,NA,2002,w,hoch,1,3,4,ja,0,3.4,6,4
87,7.8,NA,2004,m,mittel,1,3,3,nein,1,3.2,12,1
88,7,16,NA,w,hoch,1.5,3,3,nein,0,2,0,1
89,6.8,16,NA,m,mittel,2,2,2.5,nein,2,0.7,8,1
90,8.5,16,NA,w,mittel,2.5,5,2,nein,0,0.5,16,3
91,7.5,16,NA,w,mittel,1,4,4.5,nein,0,3.4,4,4
92,9.5,NA,2005,m,mittel,1,4,4,nein,0,10,6,3
93,9,NA,2005,w,mittel,4,1,4.5,nein,0,0.3,6,1
94,13.5,16,NA,m,hoch,3.5,4,4,nein,0,0.2,8,1
95,7.5,16,NA,m,mittel,3,4,4.5,nein,0,3.7,4,5
96,13.8,NA,2005,m,hoch,1,5,3.5,nein,0,4.7,2,1
97,5,NA,2004,w,mittel,1.5,5,3.5,ja,0,10.2,4,2
98,2.8,18,NA,m,gering,3.5,4,3.5,nein,3,0.9,0,3
99,9.2,NA,2005,w,mittel,1,5,3.5,nein,0,4.4,2,1
100,8.5,16,NA,m,mittel,4,5,4.5,nein,1,4.5,4,2
101,6.8,NA,2004,w,gering,1,2,4.5,nein,0,4.5,8,1
102,4.8,NA,2005,w,gering,3,5,3.5,ja,2,3.1,2,1
103,12,NA,2005,w,mittel,2.5,3,3,nein,0,10.3,12,1
104,11.2,15,NA,m,mittel,1.5,5,4.5,nein,0,11.2,6,1
105,7.8,15,NA,w,hoch,1,5,3,nein,0,7.5,2,1
106,9,15,NA,m,hoch,4,1,3,nein,0,12.7,6,1
107,7.5,NA,2005,w,mittel,3,2,4,ja,0,3.8,0,3
108,6.2,17,NA,w,gering,1,3,4,nein,0,4.9,0,3
109,6.8,NA,2004,w,gering,1,1,3.5,ja,0,2.4,4,1
110,9.8,NA,2004,w,hoch,1.5,1,4.5,nein,0,1.5,6,3
111,10.2,16,NA,w,gering,3,1,3.5,nein,0,1.7,2,5
112,6.8,NA,2005,m,mittel,1,1,3,ja,0,1.4,0,2
113,4.8,15,NA,w,mittel,1,2,4.5,ja,0,4.5,26,3
114,8.5,17,NA,m,hoch,2,5,4,nein,0,4.9,0,1
115,8.5,NA,2004,w,mittel,3,5,3.5,ja,0,2.1,54,1
116,4,NA,2003,m,mittel,3,5,5,nein,3,1.9,16,1
117,4.8,NA,2004,w,mittel,2.5,2,3,ja,0,3,4,5
118,10,NA,2005,w,mittel,1,2,2.5,ja,0,1.1,8,2
119,4.8,NA,2005,w,mittel,1,5,4,nein,0,4.3,10,1
120,6.8,NA,2005,w,mittel,1,5,3,ja,0,9.8,2,1
121,7,16,NA,m,mittel,4,3,3.5,nein,0,1.1,8,2
122,9.2,16,NA,w,mittel,1.5,1,1.5,nein,0,2.6,14,3
123,6,17,NA,w,mittel,2,3,3,nein,0,4.9,6,4
124,7.5,17,NA,m,mittel,2.5,2,4,nein,0,0.5,2,3
125,1.8,16,NA,m,gering,3,5,4,nein,1,1.4,0,1
126,3.2,16,NA,m,hoch,1.5,5,2.5,nein,0,1.7,0,1
127,1.3,19,NA,m,mittel,1,4,4,nein,3,0,0,5
128,6.2,NA,2005,w,gering,2.5,3,3,ja,3,4.9,10,1
129,3.2,17,NA,m,gering,2,5,2.5,nein,2,1,0,1
130,7.5,15,NA,w,mittel,2.5,3,2.5,nein,2,9.3,8,1
131,4,NA,2003,w,gering,1,3,4,nein,0,2.1,4,3
132,14,15,NA,m,mittel,1,3,2.5,nein,0,0.8,10,2
133,5.8,17,NA,m,gering,4.5,5,4,nein,0,3.4,12,1
134,9.2,16,NA,w,mittel,2.5,5,3.5,nein,0,3.1,2,1
135,3.8,NA,2004,w,mittel,1.5,3,2.5,nein,0,2.1,12,5
136,6,19,NA,w,gering,1,5,2.5,nein,3,2.1,2,1
137,11,NA,2005,w,mittel,1,1,3,nein,0,2.6,0,1
138,11.2,16,NA,w,mittel,1,3,3.5,nein,0,3.6,0,3
139,8.5,NA,2005,w,gering,1,4,3.5,nein,0,8.2,4,4
140,7,NA,2004,m,mittel,2,5,3,nein,0,1.5,4,1
141,9.5,NA,2004,m,mittel,2,5,3.5,nein,0,0.4,2,4
142,14.5,NA,2004,m,mittel,1,2,3,nein,0,10.1,4,1
143,8,NA,2005,m,mittel,1.5,5,3.5,ja,0,5.8,4,3
144,9.5,16,NA,m,hoch,2.5,5,3.5,nein,0,0.1,18,1
145,8.2,NA,2004,w,mittel,2,3,4,nein,0,10.7,0,5
146,7,NA,2005,m,mittel,2.5,5,3.5,nein,0,2.1,6,1
147,6.8,16,NA,m,mittel,3.5,5,3,nein,0,1.8,8,1
148,9.8,16,NA,w,mittel,1.5,5,3,nein,0,4.1,2,1
149,10.2,16,NA,m,mittel,1,3,4,nein,0,0.8,0,3
150,7.5,NA,2005,m,mittel,1,2,3.5,nein,0,2.3,0,3
151,8.7,17,NA,m,mittel,2.5,4,4,nein,0,2.5,12,5
152,7.2,NA,2005,w,hoch,2.5,5,3.5,ja,0,0.4,0,2
153,7.2,NA,2005,w,gering,2.5,4,3,nein,0,2.2,2,1
154,6.8,15,NA,m,gering,1,5,3.5,nein,0,3,8,1
155,6,17,NA,m,mittel,2.5,5,4.5,nein,1,3.4,20,1
156,12,17,NA,m,hoch,1.5,5,4,nein,0,1.9,4,1
157,12.5,16,NA,m,hoch,1,4,3.5,nein,0,8.8,0,3
158,11.5,NA,2005,m,mittel,3,1,3,nein,0,0.5,4,3
159,8.7,17,NA,w,mittel,2,5,3.5,nein,0,0.4,12,1
160,4.2,17,NA,m,mittel,2.5,4,4,nein,0,2.2,4,2
161,5.2,NA,2004,w,mittel,1.5,2,4,nein,0,4.4,4,1
162,1.3,17,NA,m,gering,1.5,5,5,nein,3,0.3,0,3
163,6.2,NA,2005,w,mittel,2,4,3.5,ja,0,3.8,2,2
164,11,16,NA,m,gering,1,3,3,nein,0,4.4,2,1
165,10.2,NA,2004,m,mittel,1,4,3,ja,0,1.9,2,2
166,9,16,NA,w,mittel,1,5,2.5,ja,1,4.4,6,1
167,9.5,NA,2004,w,mittel,2.5,4,3.5,nein,0,2.7,2,3
