Nr	Gebiet	Waehler_gueltige_Zweitstimmen_vorlauefig	AfD3
1	Flensburg – Schleswig	180112	10317
2	Nordfriesland – Dithmarschen Nord	145387	8798
3	Steinburg – Dithmarschen Süd	136299	11303
4	Rendsburg-Eckernförde	162060	10564
5	Kiel	155986	7654
6	Plön – Neumünster	133721	9741
7	Pinneberg	191512	13080
8	Segeberg – Stormarn-Mitte	199618	14527
9	Ostholstein – Stormarn-Nord	143092	10073
10	Herzogtum Lauenburg – Stormarn-Süd	196903	14682
11	Lübeck	131455	8827
12	Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I	156565	24185
13	Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I	146362	24673
14	Rostock – Landkreis Rostock II	165329	20658
15	Vorpommern-Rügen – Vorpommern-Greifswald I	168922	31303
16	Mecklenburgische Seenplatte I – Vorpommern-Greifswald II	154240	35102
17	Mecklenburgische Seenplatte II – Landkreis Rostock III	143622	29421
18	Hamburg-Mitte	179637	9100
19	Hamburg-Altona	152720	5036
20	Hamburg-Eimsbüttel	160970	5662
21	Hamburg-Nord	185457	6811
22	Hamburg-Wandsbek	174014	11290
23	Hamburg-Bergedorf – Harburg	158246	12638
24	Aurich – Emden	137847	11173
25	Unterems	175826	14248
26	Friesland – Wilhelmshaven – Wittmund	134164	10951
27	Oldenburg – Ammerland	173725	8903
28	Delmenhorst – Wesermarsch – Oldenburg-Land	163753	12987
29	Cuxhaven – Stade II	140739	11000
30	Stade I – Rotenburg II	151821	11002
31	Mittelems	180543	9235
32	Cloppenburg – Vechta	164507	12772
33	Diepholz – Nienburg I	146954	10372
34	Osterholz – Verden	151308	11329
35	Rotenburg I – Heidekreis	125100	9945
36	Harburg	161635	11671
37	Lüchow-Dannenberg – Lüneburg	139183	9145
38	Osnabrück-Land	151837	10069
39	Stadt Osnabrück	149541	6903
40	Nienburg II – Schaumburg	142895	12434
41	Stadt Hannover I	128894	7677
42	Stadt Hannover II	143712	6753
43	Hannover-Land I	174581	13295
44	Celle – Uelzen	158022	14423
45	Gifhorn – Peine	166592	16048
46	Hameln-Pyrmont – Holzminden	132893	11590
47	Hannover-Land II	181202	13850
48	Hildesheim	161685	12161
49	Salzgitter – Wolfenbüttel	147218	14415
50	Braunschweig	140807	8238
51	Helmstedt – Wolfsburg	130671	12241
52	Goslar – Northeim – Osterode	143611	11819
53	Göttingen	161876	9785
54	Bremen I	186308	9835
55	Bremen II – Bremerhaven	144123	12740
56	Prignitz – Ostprignitz-Ruppin – Havelland I	122512	23221
57	Uckermark – Barnim I	130965	25748
58	Oberhavel – Havelland II	195208	30793
59	Märkisch-Oderland – Barnim II	177065	31820
60	Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I	147618	23845
61	Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II	190547	18658
62	Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I	194461	34411
63	Frankfurt (Oder) – Oder-Spree	142414	28338
64	Cottbus – Spree-Neiße	128323	30729
65	Elbe-Elster – Oberspreewald-Lausitz II	120351	29849
66	Altmark	108881	20629
67	Börde – Jerichower Land	148520	29604
68	Harz	138572	24790
69	Magdeburg	156789	23446
70	Dessau – Wittenberg	115204	21630
71	Anhalt	139289	31003
72	Halle	148576	21914
73	Burgenland – Saalekreis	125866	31000
74	Mansfeld	133064	31476
75	Berlin-Mitte	152506	7734
76	Berlin-Pankow	184636	15962
77	Berlin-Reinickendorf	128577	12296
78	Berlin-Spandau – Charlottenburg Nord	126551	12783
79	Berlin-Steglitz-Zehlendorf	177241	9915
80	Berlin-Charlottenburg-Wilmersdorf	155726	7371
81	Berlin-Tempelhof-Schöneberg	178035	10907
82	Berlin-Neukölln	139712	10174
83	Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost	172469	6988
84	Berlin-Treptow-Köpenick	158748	19128
85	Berlin-Marzahn-Hellersdorf	137133	22596
86	Berlin-Lichtenberg	145569	17840
87	Aachen I	140020	5427
88	Aachen II	170670	12409
89	Heinsberg	145368	11359
90	Düren	153645	13171
91	Rhein-Erft-Kreis I	194862	13417
92	Euskirchen – Rhein-Erft-Kreis II	192814	14894
93	Köln I	140901	8363
94	Köln II	204955	5891
95	Köln III	155242	7876
96	Bonn	185557	7750
97	Rhein-Sieg-Kreis I	188217	13604
98	Rhein-Sieg-Kreis II	176637	10551
99	Oberbergischer Kreis	160146	15211
100	Rheinisch-Bergischer Kreis	176933	10051
101	Leverkusen – Köln IV	154163	10966
102	Wuppertal I	146699	12090
103	Solingen – Remscheid – Wuppertal II	163495	12506
104	Mettmann I	159457	10658
105	Mettmann II	123769	9104
106	Düsseldorf I	175110	7495
107	Düsseldorf II	142287	8503
108	Neuss I	162167	11298
109	Mönchengladbach	129646	9641
110	Krefeld I – Neuss II	155726	9342
111	Viersen	175085	10357
112	Kleve	171093	9632
113	Wesel I	160625	10994
114	Krefeld II – Wesel II	131664	9189
115	Duisburg I	118600	9802
116	Duisburg II	98339	11834
117	Oberhausen – Wesel III	145232	13099
118	Mülheim – Essen I	139658	11135
119	Essen II	105472	11521
120	Essen III	152860	8398
121	Recklinghausen I	121640	10927
122	Recklinghausen II	137841	12522
123	Gelsenkirchen	112317	14204
124	Steinfurt I – Borken I	156894	8385
125	Bottrop – Recklinghausen III	148734	13899
126	Borken II	162159	7724
127	Coesfeld – Steinfurt II	161064	7339
128	Steinfurt III	155635	9253
129	Münster	196276	5603
130	Warendorf	165808	10533
131	Gütersloh I	179726	13299
132	Bielefeld – Gütersloh II	185345	12448
133	Herford – Minden-Lübbecke II	170464	16144
134	Minden-Lübbecke I	152935	13892
135	Lippe I	172402	16789
136	Höxter – Lippe II	134346	11533
137	Paderborn – Gütersloh III	178377	14360
138	Hagen – Ennepe-Ruhr-Kreis I	144751	13760
139	Ennepe-Ruhr-Kreis II	136706	9654
140	Bochum I	154691	10232
141	Herne – Bochum II	123045	11882
142	Dortmund I	155814	10746
143	Dortmund II	143855	11290
144	Unna I	148083	11428
145	Hamm – Unna II	168760	15497
146	Soest	179003	14206
147	Hochsauerlandkreis	156518	11532
148	Siegen-Wittgenstein	162162	14709
149	Olpe – Märkischer Kreis I	154830	13100
150	Märkischer Kreis II	143689	13082
151	Nordsachsen	119206	32066
152	Leipzig I	167696	25891
153	Leipzig II	180880	20213
154	Leipzig-Land	162283	38458
155	Meißen	149341	43940
156	Bautzen I	159233	50050
157	Görlitz	153057	49123
158	Sächsische Schweiz-Osterzgebirge	154159	48580
159	Dresden I	181120	32122
160	Dresden II – Bautzen II	189409	36003
161	Mittelsachsen	147733	43821
162	Chemnitz	140700	30089
163	Chemnitzer Umland – Erzgebirgskreis II	137423	37181
164	Erzgebirgskreis I	161756	48794
165	Zwickau	147142	36601
166	Vogtlandkreis	137816	34112
167	Waldeck	138130	12899
168	Kassel	162809	12141
169	Werra-Meißner – Hersfeld-Rotenburg	130905	14899
170	Schwalm-Eder	141494	15047
171	Marburg	141581	12558
172	Lahn-Dill	153384	17513
173	Gießen	161919	14836
174	Fulda	163560	21443
175	Main-Kinzig – Wetterau II – Schotten	137070	17079
176	Hochtaunus	144012	11156
177	Wetterau I	138935	11680
178	Rheingau-Taunus – Limburg	172247	14523
179	Wiesbaden	136214	9588
180	Hanau	131412	13257
181	Main-Taunus	157718	10427
182	Frankfurt am Main I	145010	7846
183	Frankfurt am Main II	175004	8188
184	Groß-Gerau	129261	11246
185	Offenbach	158052	12098
186	Darmstadt	188916	12194
187	Odenwald	179830	15983
188	Bergstraße	153176	14377
189	Eichsfeld – Nordhausen – Kyffhäuserkreis	154488	34296
190	Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis	156113	37737
191	Jena – Sömmerda – Weimarer Land I	154163	30263
192	Gotha – Ilm-Kreis	142566	36522
193	Erfurt – Weimar – Weimarer Land II	166604	26803
194	Gera – Greiz – Altenburger Land	168147	46659
195	Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis	166531	46381
196	Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg	171108	44572
197	Neuwied	181837	17504
198	Ahrweiler	148466	11322
199	Koblenz	147127	10426
200	Mosel/Rhein-Hunsrück	134717	11061
201	Kreuznach	138109	13510
202	Bitburg	124449	8794
203	Trier	147171	9001
204	Montabaur	164165	14565
205	Mainz	202670	10833
206	Worms	166636	17033
207	Ludwigshafen/Frankenthal	154911	18075
208	Neustadt – Speyer	173828	17499
209	Kaiserslautern	169206	20702
210	Pirmasens	132470	17178
211	Südpfalz	171259	17702
212	Altötting	129441	13940
213	Erding – Ebersberg	168337	12228
214	Freising	194002	17515
215	Fürstenfeldbruck	192779	13209
216	Ingolstadt	187395	18694
217	München-Nord	175551	8250
218	München-Ost	193958	8978
219	München-Süd	172970	7910
220	München-West/Mitte	198272	8403
221	München-Land	199333	10489
222	Rosenheim	191410	16570
223	Bad Tölz-Wolfratshausen – Miesbach	136106	10835
224	Starnberg – Landsberg am Lech	180978	11066
225	Traunstein	163876	14027
226	Weilheim	138039	10873
227	Deggendorf	127193	17911
228	Landshut	195589	19973
229	Passau	136625	16023
230	Rottal-Inn	133885	16384
231	Straubing	132955	17402
232	Amberg	173297	17958
233	Regensburg	198937	17343
234	Schwandorf	174957	23508
235	Weiden	132247	14898
236	Bamberg	148660	14284
237	Bayreuth	129136	11636
238	Coburg	123864	12836
239	Hof	125334	14560
240	Kulmbach	137178	15774
241	Ansbach	192508	19142
242	Erlangen	155377	10872
243	Fürth	197939	17692
244	Nürnberg-Nord	145212	8887
245	Nürnberg-Süd	129560	12901
246	Roth	189675	16043
247	Aschaffenburg	146772	13716
248	Bad Kissingen	174164	18434
249	Main-Spessart	158133	13918
250	Schweinfurt	157357	15687
251	Würzburg	185659	12220
252	Augsburg-Stadt	153315	13888
253	Augsburg-Land	204737	19481
254	Donau-Ries	157033	17135
255	Neu-Ulm	188813	22293
256	Oberallgäu	181755	14350
257	Ostallgäu	198667	19779
258	Stuttgart I	157514	6591
259	Stuttgart II	133588	9541
260	Böblingen	195335	16810
261	Esslingen	131888	9733
262	Nürtingen	165777	14327
263	Göppingen	135606	15412
264	Waiblingen	175841	15474
265	Ludwigsburg	171843	14313
266	Neckar-Zaber	186673	18702
267	Heilbronn	182804	23828
268	Schwäbisch Hall – Hohenlohe	172687	21787
269	Backnang – Schwäbisch Gmünd	136436	15979
270	Aalen – Heidenheim	168655	17937
271	Karlsruhe-Stadt	159591	10774
272	Karlsruhe-Land	167946	15869
273	Rastatt	155331	16333
274	Heidelberg	177868	10821
275	Mannheim	142132	12846
276	Odenwald – Tauber	162058	19208
277	Rhein-Neckar	154085	15701
278	Bruchsal – Schwetzingen	152231	17462
279	Pforzheim	163982	22028
280	Calw	152863	19473
281	Freiburg	180976	8854
282	Lörrach – Müllheim	174064	14195
283	Emmendingen – Lahr	168004	14971
284	Offenburg	156776	15320
285	Rottweil – Tuttlingen	149664	19747
286	Schwarzwald-Baar	122862	13097
287	Konstanz	157563	13341
288	Waldshut	136195	11265
289	Reutlingen	153820	15652
290	Tübingen	160835	12548
291	Ulm	177537	16046
292	Biberach	133345	14308
293	Bodensee	137838	11916
294	Ravensburg	147020	12650
295	Zollernalb – Sigmaringen	138084	16477
296	Saarbrücken	142697	13006
297	Saarlouis	159170	15651
298	St. Wendel	139808	12904
299	Homburg	142288	16068
