state,area_nr,area_name,for_prop,pop_density,pop_move,income,unemp
Schleswig-Holstein,001,Flensburg – Schleswig,8.4,137.1,9.5,21358,7
Schleswig-Holstein,002,Nordfriesland – Dithmarschen Nord,7.1,84.6,8.3,24354,6.5
Schleswig-Holstein,003,Steinburg – Dithmarschen Süd,6.5,110.5,4.6,22292,6.4
Schleswig-Holstein,004,Rendsburg-Eckernförde,5.5,116.4,8.6,23410,4.8
Schleswig-Holstein,005,Kiel,11.4,1879.2,-1.8,19718,8.4
Schleswig-Holstein,006,Plön – Neumünster,8.7,171.2,5.1,22081,6.7
Schleswig-Holstein,007,Pinneberg,11.1,475.9,8.1,24708,5.9
Schleswig-Holstein,008,Segeberg – Stormarn-Mitte,8,240.5,5.7,23952,5
Schleswig-Holstein,009,Ostholstein – Stormarn-Nord,5.7,143.9,6.8,23411,6.1
Schleswig-Holstein,010,Herzogtum Lauenburg – Stormarn-Süd,8.6,236.8,8.8,24571,5.1
Schleswig-Holstein,011,Lübeck,10,580,1.3,20404,8.5
Schleswig-Holstein,901,Land insgesamt,8.4,183.8,6,22833,6.3
Mecklenburg-Vorpommern,012,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,6.7,73.9,2.6,19927,8
Mecklenburg-Vorpommern,013,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,4,63.3,7.5,20014,6.8
Mecklenburg-Vorpommern,014,Rostock – Landkreis Rostock II,5.5,278,6,19274,7.9
Mecklenburg-Vorpommern,015,Vorpommern-Rügen – Vorpommern-Greifswald I,4.7,84.7,6.7,19231,11
Mecklenburg-Vorpommern,016,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,3.8,53.8,2.8,18774,9.9
Mecklenburg-Vorpommern,017,Mecklenburgische Seenplatte II – Landkreis Rostock III,3,40,4.2,19679,8.5
Mecklenburg-Vorpommern,913,Land insgesamt,4.7,69,5,19470,8.7
Hamburg,018,Hamburg-Mitte,21.8,3043.7,2.7,25029,8.1
Hamburg,019,Hamburg-Altona,15.5,3438.8,2.7,25029,8.1
Hamburg,020,Hamburg-Eimsbüttel,13.2,5225.5,2.7,25029,8.1
Hamburg,021,Hamburg-Nord,10.9,2514.4,2.7,25029,8.1
Hamburg,022,Hamburg-Wandsbek,14.8,4149.9,2.7,25029,8.1
Hamburg,023,Hamburg-Bergedorf – Harburg,20.8,1087.1,2.7,25029,8.1
Hamburg,902,Land insgesamt,16.5,2446.4,2.7,25029,8.1
Niedersachsen,024,Aurich – Emden,6.5,171.2,2,20327,8
Niedersachsen,025,Unterems,11.3,123.7,6.5,20559,5
