Gebietsart,Gebietsnummer,Gebietsname,UegGebietsart,UegGebietsnummer,Gruppenart,Gruppenname,Stimme,Prozent,DiffProzentPkt
Bund,99,Deutschland,NA,NA,Partei,AfD,2,10.343869,-2.293028
Land,01,Schleswig-Holstein,BUND,99,Partei,AfD,2,6.782909,-1.398406
Land,13,Mecklenburg-Vorpommern,BUND,99,Partei,AfD,2,17.994273,-0.594098
Land,02,Hamburg,BUND,99,Partei,AfD,2,5.025837,-2.79643
Land,03,Niedersachsen,BUND,99,Partei,AfD,2,7.43793,-1.651035
Land,04,Bremen,BUND,99,Partei,AfD,2,6.881783,-3.121738
Land,12,Brandenburg,BUND,99,Partei,AfD,2,18.135735,-2.061256
Land,15,Sachsen-Anhalt,BUND,99,Partei,AfD,2,19.592659,-0.038259
Land,11,Berlin,BUND,99,Partei,AfD,2,8.4143,-3.633049
Land,05,Nordrhein-Westfalen,BUND,99,Partei,AfD,2,7.256349,-2.166055
Land,14,Sachsen,BUND,99,Partei,AfD,2,24.647559,-2.372644
Land,06,Hessen,BUND,99,Partei,AfD,2,8.815351,-3.090409
Land,16,Thüringen,BUND,99,Partei,AfD,2,23.972675,1.25496
Land,07,Rheinland-Pfalz,BUND,99,Partei,AfD,2,9.219837,-2.026188
Land,09,Bayern,BUND,99,Partei,AfD,2,8.980147,-3.413658
Land,08,Baden-Württemberg,BUND,99,Partei,AfD,2,9.602834,-2.586435
Land,10,Saarland,BUND,99,Partei,AfD,2,10.045706,-0.021649
Wahlkreis,001,Flensburg – Schleswig,LAND,01,Partei,AfD,2,5.775787,-1.06022
Wahlkreis,002,Nordfriesland – Dithmarschen Nord,LAND,01,Partei,AfD,2,6.103576,-0.436537
Wahlkreis,003,Steinburg – Dithmarschen Süd,LAND,01,Partei,AfD,2,8.365838,-0.176469
Wahlkreis,004,Rendsburg-Eckernförde,LAND,01,Partei,AfD,2,6.563325,-0.845789
Wahlkreis,005,Kiel,LAND,01,Partei,AfD,2,4.935899,-1.971492
Wahlkreis,006,Plön – Neumünster,LAND,01,Partei,AfD,2,7.3502,-1.201373
Wahlkreis,007,Pinneberg,LAND,01,Partei,AfD,2,6.874442,-1.698198
Wahlkreis,008,Segeberg – Stormarn-Mitte,LAND,01,Partei,AfD,2,7.327062,-1.616125
Wahlkreis,009,Ostholstein – Stormarn-Nord,LAND,01,Partei,AfD,2,7.095361,-1.486161
Wahlkreis,010,Herzogtum Lauenburg – Stormarn-Süd,LAND,01,Partei,AfD,2,7.506634,-2.282345
Wahlkreis,011,Lübeck,LAND,01,Partei,AfD,2,6.777644,-2.112598
Wahlkreis,012,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,LAND,13,Partei,AfD,2,15.687941,-0.843708
Wahlkreis,013,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,LAND,13,Partei,AfD,2,17.121662,-0.580649
Wahlkreis,014,Rostock – Landkreis Rostock II,LAND,13,Partei,AfD,2,12.675408,-2.831424
Wahlkreis,015,Vorpommern-Rügen – Vorpommern-Greifswald I,LAND,13,Partei,AfD,2,18.882367,-0.758399
Wahlkreis,016,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,LAND,13,Partei,AfD,2,23.240509,0.248254
Wahlkreis,017,Mecklenburgische Seenplatte II – Landkreis Rostock III,LAND,13,Partei,AfD,2,20.895893,1.672496
Wahlkreis,018,Hamburg-Mitte,LAND,02,Partei,AfD,2,5.096469,-2.901557
Wahlkreis,019,Hamburg-Altona,LAND,02,Partei,AfD,2,3.311088,-2.216847
Wahlkreis,020,Hamburg-Eimsbüttel,LAND,02,Partei,AfD,2,3.530696,-2.357077
Wahlkreis,021,Hamburg-Nord,LAND,02,Partei,AfD,2,3.687781,-2.47557
Wahlkreis,022,Hamburg-Wandsbek,LAND,02,Partei,AfD,2,6.532771,-3.234831
Wahlkreis,023,Hamburg-Bergedorf – Harburg,LAND,02,Partei,AfD,2,8.04881,-3.43471
Wahlkreis,024,Aurich – Emden,LAND,03,Partei,AfD,2,8.203739,-0.924289
Wahlkreis,025,Unterems,LAND,03,Partei,AfD,2,8.175538,-0.18104
Wahlkreis,026,Friesland – Wilhelmshaven – Wittmund,LAND,03,Partei,AfD,2,8.23817,-0.839128
Wahlkreis,027,Oldenburg – Ammerland,LAND,03,Partei,AfD,2,5.159664,-2.067796
Wahlkreis,028,Delmenhorst – Wesermarsch – Oldenburg-Land,LAND,03,Partei,AfD,2,8.008856,-1.700952
Wahlkreis,029,Cuxhaven – Stade II,LAND,03,Partei,AfD,2,7.873114,-1.116433
Wahlkreis,030,Stade I – Rotenburg II,LAND,03,Partei,AfD,2,7.291598,-1.587143
Wahlkreis,031,Mittelems,LAND,03,Partei,AfD,2,5.146596,-0.277442
Wahlkreis,032,Cloppenburg – Vechta,LAND,03,Partei,AfD,2,7.818698,-0.269736
Wahlkreis,033,Diepholz – Nienburg I,LAND,03,Partei,AfD,2,7.105472,-1.337065
Wahlkreis,034,Osterholz – Verden,LAND,03,Partei,AfD,2,7.541656,-2.125797
Wahlkreis,035,Rotenburg I – Heidekreis,LAND,03,Partei,AfD,2,8.006989,-1.248071
Wahlkreis,036,Harburg,LAND,03,Partei,AfD,2,7.260703,-2.715362
Wahlkreis,037,Lüchow-Dannenberg – Lüneburg,LAND,03,Partei,AfD,2,6.621725,-2.296563
Wahlkreis,038,Osnabrück-Land,LAND,03,Partei,AfD,2,6.692233,-0.591631
Wahlkreis,039,Stadt Osnabrück,LAND,03,Partei,AfD,2,4.648172,-1.635524
Wahlkreis,040,Nienburg II – Schaumburg,LAND,03,Partei,AfD,2,8.769183,-1.491435
Wahlkreis,041,Stadt Hannover I,LAND,03,Partei,AfD,2,6.017118,-3.117056
Wahlkreis,042,Stadt Hannover II,LAND,03,Partei,AfD,2,4.740611,-2.849992
Wahlkreis,043,Hannover-Land I,LAND,03,Partei,AfD,2,7.698232,-2.483832
Wahlkreis,044,Celle – Uelzen,LAND,03,Partei,AfD,2,9.196582,-1.706117
Wahlkreis,045,Gifhorn – Peine,LAND,03,Partei,AfD,2,9.736092,-1.177958
Wahlkreis,046,Hameln-Pyrmont – Holzminden,LAND,03,Partei,AfD,2,8.806389,-1.328245
Wahlkreis,047,Hannover-Land II,LAND,03,Partei,AfD,2,7.733455,-2.635711
Wahlkreis,048,Hildesheim,LAND,03,Partei,AfD,2,7.611186,-1.71459
Wahlkreis,049,Salzgitter – Wolfenbüttel,LAND,03,Partei,AfD,2,9.892123,-2.383193
Wahlkreis,050,Braunschweig,LAND,03,Partei,AfD,2,5.91411,-2.450987
Wahlkreis,051,Helmstedt – Wolfsburg,LAND,03,Partei,AfD,2,9.474165,-1.452812
Wahlkreis,052,Goslar – Northeim – Osterode,LAND,03,Partei,AfD,2,8.304817,-1.797326
Wahlkreis,053,Göttingen,LAND,03,Partei,AfD,2,6.103989,-1.837
Wahlkreis,054,Bremen I,LAND,04,Partei,AfD,2,5.309414,-3.028032
Wahlkreis,055,Bremen II – Bremerhaven,LAND,04,Partei,AfD,2,8.921381,-3.209735
Wahlkreis,056,Prignitz – Ostprignitz-Ruppin – Havelland I,LAND,12,Partei,AfD,2,19.18964,0.455264
Wahlkreis,057,Uckermark – Barnim I,LAND,12,Partei,AfD,2,19.9217,-0.861346
Wahlkreis,058,Oberhavel – Havelland II,LAND,12,Partei,AfD,2,15.947651,-2.664145
Wahlkreis,059,Märkisch-Oderland – Barnim II,LAND,12,Partei,AfD,2,18.235166,-2.457635
Wahlkreis,060,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,LAND,12,Partei,AfD,2,16.379423,-1.304932
Wahlkreis,061,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,LAND,12,Partei,AfD,2,9.877968,-3.415004
Wahlkreis,062,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,LAND,12,Partei,AfD,2,17.947635,-3.097739
Wahlkreis,063,Frankfurt (Oder) – Oder-Spree,LAND,12,Partei,AfD,2,20.156483,-1.928619
Wahlkreis,064,Cottbus – Spree-Neiße,LAND,12,Partei,AfD,2,24.281143,-2.563076
Wahlkreis,065,Elbe-Elster – Oberspreewald-Lausitz II,LAND,12,Partei,AfD,2,25.196684,-0.030712
Wahlkreis,066,Altmark,LAND,15,Partei,AfD,2,19.14631,2.380884
Wahlkreis,067,Börde – Jerichower Land,LAND,15,Partei,AfD,2,20.143846,1.30032
Wahlkreis,068,Harz,LAND,15,Partei,AfD,2,18.088289,1.229792
Wahlkreis,069,Magdeburg,LAND,15,Partei,AfD,2,15.08907,-1.114119
Wahlkreis,070,Dessau – Wittenberg,LAND,15,Partei,AfD,2,18.978845,-1.003248
Wahlkreis,071,Anhalt,LAND,15,Partei,AfD,2,22.556495,0.329463
Wahlkreis,072,Halle,LAND,15,Partei,AfD,2,14.884801,-2.898344
Wahlkreis,073,Burgenland – Saalekreis,LAND,15,Partei,AfD,2,24.883809,0.287796
Wahlkreis,074,Mansfeld,LAND,15,Partei,AfD,2,23.921387,0.009604
Wahlkreis,075,Berlin-Mitte,LAND,11,Partei,AfD,2,5.141638,-3.081564
Wahlkreis,076,Berlin-Pankow,LAND,11,Partei,AfD,2,8.751864,-3.739296
Wahlkreis,077,Berlin-Reinickendorf,LAND,11,Partei,AfD,2,9.766559,-3.936117
Wahlkreis,078,Berlin-Spandau – Charlottenburg Nord,LAND,11,Partei,AfD,2,10.348177,-3.786755
Wahlkreis,079,Berlin-Steglitz-Zehlendorf,LAND,11,Partei,AfD,2,5.669959,-3.172389
Wahlkreis,080,Berlin-Charlottenburg-Wilmersdorf,LAND,11,Partei,AfD,2,4.793118,-3.106172
Wahlkreis,081,Berlin-Tempelhof-Schöneberg,LAND,11,Partei,AfD,2,6.227696,-3.325523
Wahlkreis,082,Berlin-Neukölln,LAND,11,Partei,AfD,2,7.425681,-3.82081
Wahlkreis,083,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,LAND,11,Partei,AfD,2,4.095147,-2.229965
Wahlkreis,084,Berlin-Treptow-Köpenick,LAND,11,Partei,AfD,2,12.267043,-4.665967
Wahlkreis,085,Berlin-Marzahn-Hellersdorf,LAND,11,Partei,AfD,2,16.848102,-4.780507
Wahlkreis,086,Berlin-Lichtenberg,LAND,11,Partei,AfD,2,12.487488,-4.234913
Wahlkreis,087,Aachen I,LAND,05,Partei,AfD,2,3.896104,-2.020163
Wahlkreis,088,Aachen II,LAND,05,Partei,AfD,2,7.338826,-1.316416
Wahlkreis,089,Heinsberg,LAND,05,Partei,AfD,2,7.889783,-0.849659
Wahlkreis,090,Düren,LAND,05,Partei,AfD,2,8.657784,-0.954962
Wahlkreis,091,Rhein-Erft-Kreis I,LAND,05,Partei,AfD,2,6.937399,-2.590799
Wahlkreis,092,Euskirchen – Rhein-Erft-Kreis II,LAND,05,Partei,AfD,2,7.786735,-2.055044
Wahlkreis,093,Köln I,LAND,05,Partei,AfD,2,5.97016,-2.895101
Wahlkreis,094,Köln II,LAND,05,Partei,AfD,2,2.883039,-2.172827
Wahlkreis,095,Köln III,LAND,05,Partei,AfD,2,5.10097,-2.744541
Wahlkreis,096,Bonn,LAND,05,Partei,AfD,2,4.201817,-3.128213
Wahlkreis,097,Rhein-Sieg-Kreis I,LAND,05,Partei,AfD,2,7.28172,-2.697105
Wahlkreis,098,Rhein-Sieg-Kreis II,LAND,05,Partei,AfD,2,6.014673,-2.778198
Wahlkreis,099,Oberbergischer Kreis,LAND,05,Partei,AfD,2,9.586322,-1.000388
Wahlkreis,100,Rheinisch-Bergischer Kreis,LAND,05,Partei,AfD,2,5.714172,-2.271152
Wahlkreis,101,Leverkusen – Köln IV,LAND,05,Partei,AfD,2,7.16732,-2.571735
Wahlkreis,102,Wuppertal I,LAND,05,Partei,AfD,2,8.31505,-2.744606
Wahlkreis,103,Solingen – Remscheid – Wuppertal II,LAND,05,Partei,AfD,2,7.709379,-2.27468
Wahlkreis,104,Mettmann I,LAND,05,Partei,AfD,2,6.732446,-2.725036
Wahlkreis,105,Mettmann II,LAND,05,Partei,AfD,2,7.408131,-2.175604
Wahlkreis,106,Düsseldorf I,LAND,05,Partei,AfD,2,4.299983,-2.697283
Wahlkreis,107,Düsseldorf II,LAND,05,Partei,AfD,2,6.012076,-3.085338
Wahlkreis,108,Neuss I,LAND,05,Partei,AfD,2,7.018874,-2.357288
Wahlkreis,109,Mönchengladbach,LAND,05,Partei,AfD,2,7.508275,-1.948603
