PSS10_avg,Dem_age
2.9,29
2.2,20
NA,47
3.6,79
2.71428571428571,61
2.1,68
2.3,29
2.6,38
2,35
4.9,23
2.7,42
2.7,31
2.4,42
1.9,49
2.4,25
2.7,40
1,60
3.2,19
NA,58
3.5,64
NA,39
2.2,69
2.8,28
1.4,67
2,69
3.8,63
2.3,49
1.7,35
2,64
NA,54
3,63
2.8,44
NA,47
2.9,33
1.5,33
2.7,73
3.8,41
2.6,50
3.3,52
2.6,44
2.2,66
NA,60
2.8,39
2.6,63
2.2,60
2.1,60
2.4,43
1.7,55
5,58
2.9,19
3.9,23
2.2,31
2.5,39
1.9,31
3,67
2.9,57
2.1,29
NA,61
2.9,52
1.8,61
2.4,39
1.9,51
3.4,46
1.6,35
2.4,57
2.5,35
2.8,56
2.8,44
NA,73
2.7,18
2.3,42
3.9,67
NA,61
2.2,27
NA,40
1.4,66
2.9,41
4.1,31
2.8,54
2.3,57
2.5,58
2.3,67
3.7,24
1.7,65
1.3,59
4.2,20
1.6,73
NA,59
3.6,33
4.4,45
2.5,51
2.44444444444444,50
4.4,18
1.6,62
3.5,24
3.2,23
2,52
NA,35
2.9,31
2.7,37
3.4,26
3,39
3.8,42
NA,61
4.7,28
1.4,32
2,23
2,64
3.2,32
1.9,39
2.5,18
3.66666666666667,36
NA,18
3.1,18
3.2,18
3.3,18
2.9,18
2.7,18
1.8,18
3,18
NA,18
NA,18
3.1,19
2.9,18
4,38
2.4,18
2.4,18
2.8,34
1.8,47
3.6,38
2.7,60
1.4,48
3.1,67
3.2,36
NA,39
2,64
3.9,41
2.8,45
3,59
2.4,42
2.4,33
3.2,48
1.8,21
3,50
1.7,33
4.6,43
2,28
2.4,41
1.2,71
3,65
3.6,46
4.9,37
4.4,26
2.2,55
2.1,60
4.6,23
3,50
NA,28
3.1,37
2.6,43
2.6,41
1.6,61
3,56
NA,55
2.8,61
2.1,56
3.55555555555556,60
3.4,39
2.4,42
2,56
2.1,34
3.2,59
3.9,49
3,33
2.1,65
2.4,22
3.1,18
4,70
3.7,59
2.3,61
2.4,53
3.1,30
2.7,56
2.1,44
3.6,40
1.9,59
2.4,24
3.1,41
3.9,43
2.88888888888889,62
2.5,33
4.5,25
2.2,70
2,46
1.7,57
2.3,65
3.6,27
2.4,22
2.5,37
3.9,35
3.6,32
3,42
2.5,64
3.3,25
3.7,57
2.9,44
2.8,64
3.5,48
2.3,52
4.1,18
1.9,40
3,26
1.5,68
2.5,41
2.3,45
3.4,60
3.1,52
3.5,19
2.8,67
3,23
3.8,21
2.4,29
3.5,31
3.7,30
2.8,32
2.5,50
3.6,32
3,54
2.6,67
3.4,28
3.4,28
1.6,50
3.3,39
NA,25
2.3,58
1.5,71
1.5,65
2.6,40
2.5,31
3.5,66
4.1,52
2.7,31
2.9,51
2.4,27
1.7,28
1.7,65
2,66
NA,24
2.88888888888889,48
3.11111111111111,37
1.9,36
2.7,26
2.9,29
2.7,21
3.2,39
1.6,69
3.5,28
2,47
3,31
NA,25
2.2,51
2.8,63
2,33
3.2,39
3,22
2.3,39
2.8,49
2.3,44
2.5,65
3.4,22
4.3,25
2.7,58
2,38
