earn,height1,height2,sex,race,hisp,ed,yearbn,height
NA,5,6,2,1,2,12,53,66
NA,5,4,1,2,2,12,50,64
50000,6,2,1,1,2,16,45,74
60000,5,6,2,1,2,16,32,66
30000,5,4,2,1,2,16,61,64
NA,5,5,2,1,2,17,33,65
50000,5,3,2,3,2,16,99,63
NA,5,8,2,2,2,18,36,68
51000,5,3,2,1,2,17,51,63
9000,5,4,2,1,2,15,64,64
29000,5,2,2,1,2,12,41,62
32000,6,1,1,1,2,17,44,73
2000,6,0,1,1,1,15,69,72
NA,6,0,1,1,2,99,37,72
27000,6,0,1,1,2,12,64,72
6530,5,10,1,1,2,16,25,70
0,5,3,2,1,2,14,40,63
30000,5,8,1,1,2,11,56,68
12000,5,8,1,1,2,12,63,68
NA,5,11,1,1,2,18,39,71
12000,5,5,2,1,2,12,39,65
NA,5,6,2,1,2,11,45,66
0,5,0,2,1,2,12,63,60
NA,5,5,2,1,2,12,49,65
NA,5,9,1,1,2,10,39,69
22000,5,6,2,1,2,16,55,66
NA,5,5,2,1,2,16,61,65
NA,5,11,1,1,2,14,68,71
17000,5,8,1,1,2,12,32,68
40000,5,8,2,1,2,14,61,68
44000,5,10,1,1,2,13,46,70
0,5,7,2,1,2,9,69,67
7000,5,4,2,2,2,12,35,64
53000,6,1,1,2,2,13,55,73
NA,5,4,2,2,2,12,67,64
5000,5,2,2,1,2,13,39,62
NA,5,4,2,1,2,12,99,64
14000,5,3,2,1,2,14,69,63
NA,5,9,1,1,2,14,54,69
5500,5,7,1,1,2,14,68,67
40000,5,6,2,1,2,12,49,66
34000,6,0,1,1,2,12,45,72
NA,5,3,2,2,2,12,67,63
NA,5,4,2,1,2,12,33,64
10000,5,3,2,2,2,12,55,63
0,5,8,1,1,2,11,69,68
27000,5,4,2,1,2,16,30,64
NA,6,1,1,1,2,14,46,73
NA,5,7,2,1,2,12,21,67
0,5,0,2,1,2,12,46,60
50000,6,0,1,1,2,16,52,72
0,5,8,2,1,2,12,35,68
41000,6,5,1,1,2,16,57,77
0,5,4,2,1,2,10,71,64
15000,5,4,2,1,2,14,65,64
25000,5,4,2,1,2,12,57,64
NA,5,3,2,1,2,16,18,63
75000,6,0,1,1,2,17,51,72
NA,5,8,1,2,2,16,28,68
27000,5,8,1,1,2,17,59,68
12000,5,4,2,1,2,12,64,64
NA,5,10,1,1,2,12,39,70
7500,5,1,2,1,2,14,12,61
NA,6,4,1,2,2,11,49,76
NA,5,5,2,1,2,12,44,65
NA,5,4,1,2,2,12,29,64
30000,5,7,2,2,2,14,59,67
21000,5,5,2,1,2,12,33,65
27000,5,4,2,1,2,14,64,64
NA,6,1,1,1,2,16,46,73
3000,5,7,2,1,2,15,25,67
25000,5,5,2,1,2,12,60,65
24000,5,5,2,1,2,12,49,65
32000,5,7,2,1,2,18,61,67
NA,NA,98,2,1,2,4,0,NA
NA,5,11,1,2,2,12,99,71
10000,5,8,2,1,2,17,60,68
0,5,10,2,1,2,12,33,70
11000,5,0,2,1,1,12,69,60
18700,5,5,2,1,2,13,58,65
20000,5,2,2,1,2,12,61,62
3500,6,0,1,1,2,10,72,72
NA,5,6,2,1,2,14,44,66
13000,5,7,1,2,2,8,34,67
NA,5,9,1,1,2,12,45,69
25000,5,10,1,1,2,12,25,70
21000,5,10,1,1,2,17,49,70
34000,5,8,2,1,2,17,41,68
NA,5,6,2,2,2,12,67,66
NA,5,1,2,2,2,12,60,61
6000,5,0,2,1,2,12,25,60
17000,5,11,1,1,2,12,62,71
NA,5,10,2,1,2,12,34,70
35000,5,11,1,1,2,12,58,71
4000,6,1,1,1,2,13,72,73
NA,5,4,2,1,2,16,68,64
14000,5,8,2,1,2,14,35,68
10000,5,6,2,1,2,12,33,66
NA,5,9,1,4,2,13,1,69
25000,5,9,1,1,2,16,61,69
0,5,3,2,1,2,8,27,63
NA,5,8,2,1,1,12,61,68
NA,5,10,1,1,2,18,30,70
16000,5,3,2,1,2,14,63,63
0,5,6,2,2,2,13,60,66
NA,5,6,2,1,2,12,57,66
0,5,4,2,1,2,12,64,64
16000,5,2,1,1,1,14,62,62
NA,5,6,2,1,2,18,23,66
16500,5,4,2,1,2,14,47,64
NA,5,8,1,1,2,12,17,68
4000,5,4,2,1,2,9,22,64
3840,5,7,2,1,2,9,38,67
NA,5,0,2,1,2,6,12,60
22000,5,11,1,1,2,12,51,71
200,5,0,2,1,2,16,37,60
26000,5,6,2,1,2,16,63,66
2500,5,6,2,1,2,15,69,66
17000,5,5,2,1,2,14,51,65
NA,5,3,2,1,2,16,55,63
8000,5,10,2,1,2,13,68,70
NA,5,8,1,1,2,12,59,68
0,5,5,2,1,2,13,27,65
12000,5,6,2,1,2,13,22,66
10000,5,2,2,1,2,12,43,62
NA,5,0,2,1,2,8,13,60
NA,6,4,1,1,2,16,39,76
10000,5,6,2,1,2,15,23,66
0,5,4,2,1,2,14,52,64
15000,6,0,1,1,2,12,51,72
NA,5,6,2,1,2,12,59,66
NA,5,2,2,1,2,8,8,62
