kid_score,mom_hs,mom_iq,mom_work,mom_age
65,1,121.11752860260343,4,27
98,1,89.36188171006634,4,25
85,1,115.4431648817251,4,27
83,1,99.44963943607226,3,25
115,1,92.7457099982118,4,27
98,0,107.90183775850065,1,18
69,1,138.8931060711617,4,20
106,1,125.14511947532814,3,23
102,1,81.61952617898433,1,24
95,1,95.07306862064961,1,19
91,1,88.5769977185567,1,23
58,1,94.85970819436709,4,24
84,1,88.96280085095957,4,27
78,1,114.11429701233251,4,26
102,0,100.53407191524542,2,24
110,1,120.41914559108622,1,26
102,1,114.42687689144685,3,23
99,1,111.59235758083103,3,26
105,1,133.84922720815874,4,20
101,0,97.26480106346729,3,17
102,1,110.09680614075009,4,21
115,1,126.72399416983991,2,26
100,1,97.91159030926278,2,20
87,1,99.92572516031335,4,23
99,0,97.59500805215109,4,19
96,1,121.7480134604788,4,27
72,1,98.74807869899344,3,21
78,1,97.91525432916714,4,22
77,1,80.35855646323358,2,24
98,1,114.30786063392675,2,22
69,1,109.1383163029714,1,27
130,1,101.81717973393945,2,23
109,1,117.96510431322658,3,27
106,0,108.63349691304843,2,22
92,1,96.528619145464,3,27
100,1,92.87137546616418,4,22
107,1,95.89813428758863,4,27
86,1,107.0154577305767,4,25
90,1,87.19701174528585,1,22
110,1,89.36188171006634,4,25
107,1,102.53098784624567,2,21
113,1,130.16686023538787,3,24
65,1,83.41410259803364,3,22
102,1,125.75346623026022,1,24
103,0,85.81037656158271,4,27
111,1,126.52007262869549,4,28
42,1,79.20304810485698,4,21
100,1,113.16590717569612,1,23
67,1,110.3313878650803,1,26
92,1,99.40922374005459,4,28
100,1,102.42552648887153,2,24
110,1,124.90043774985564,3,27
56,1,94.85970819436709,4,24
107,1,92.36856455016738,3,29
97,1,101.81717973393945,1,23
56,0,79.83353296273235,1,21
95,1,96.22613926749196,2,21
78,0,82.35547239423383,4,21
76,0,76.57564731598137,1,24
86,1,110.01348288631927,1,23
79,1,111.59235758083103,4,26
81,1,113.65740736822691,4,17
79,0,101.1645567731208,4,24
79,1,101.34109400969837,4,25
56,1,101.69816347641935,2,22
52,1,98.81915457819689,2,25
63,1,93.49819630413519,2,20
80,1,87.29388989986265,4,24
87,1,87.31602800280595,4,23
88,1,86.20945742068949,2,25
92,1,89.83796743430743,4,23
100,0,121.87001490852683,1,20
94,0,127.54437862940516,4,20
117,1,109.99134478337596,4,24
