timestamp,willingness,health,fear,cases,extra1,agree1,cons1,neuro1,open1,extra2,agree2,cons2,neuro2,open2,age,sex,comments,extra,agree,neuro,cons,open
23/04/2021 12:22:18,10,9,5,1,2,2,3,2,4,1,4,4,4,4,20,Mann,NA,1.5,3,3,3.5,4
23/04/2021 12:26:45,10,10,7,7,4,3,5,4,3,4,2,4,2,5,19,Frau,NA,4,2.5,3,4.5,4
23/04/2021 12:28:27,3,10,2,0,3,5,4,3,5,3,5,4,3,5,21,Mann,NA,3,5,3,4,5
23/04/2021 12:29:54,7,10,6,10,1,3,3,4,2,2,4,4,4,2,20,Frau,NA,1.5,3.5,4,3.5,2
23/04/2021 12:31:56,10,10,5,8,2,3,3,3,3,2,3,4,4,3,20,Frau,Bin schon geimpft.,2,3,3.5,3.5,3
23/04/2021 12:36:11,10,10,3,4,4,3,4,4,5,4,3,4,3,4,19,Frau,NA,4,3,3.5,4,4.5
23/04/2021 12:36:17,9,9,7,3,3,5,2,3,4,4,4,4,4,5,20,Frau,"Ich würde mich nicht mit Astra Zeneca impfen lassen, aber mit BioNTech am besten",3.5,4.5,3.5,3,4.5
23/04/2021 12:38:13,10,9,5,5,3,4,4,3,4,3,4,4,2,4,19,Frau,NA,3,4,2.5,4,4
23/04/2021 12:40:48,9,9,5,3,4,3,3,3,5,5,2,4,3,5,20,Frau,NA,4.5,2.5,3,3.5,5
23/04/2021 12:42:19,5,10,1,4,4,4,5,4,5,5,4,4,2,5,22,Divers,NA,4.5,4,3,4.5,5
23/04/2021 12:43:53,10,10,2,4,3,2,1,3,2,2,2,3,2,4,22,Mann,NA,2.5,2,2.5,2,3
23/04/2021 12:48:38,10,10,7,1,4,2,4,3,4,4,3,4,3,3,24,Frau,NA,4,2.5,3,4,3.5
23/04/2021 12:56:45,10,10,7,5,3,4,2,5,5,3,4,4,4,2,18,Frau,NA,3,4,4.5,3,3.5
