carat,cut,color,clarity,depth,table,price,x,y,z,preis_log10,volume,price_high
0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43,2.513217600067939,38.20203,FALSE
0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31,2.513217600067939,34.505856,FALSE
0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31,2.514547752660286,38.076885,FALSE
0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63,2.5237464668115646,46.72458,FALSE
0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48,2.526339277389844,38.693951999999996,FALSE
0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53,2.5276299008713385,42.321081,FALSE
0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.49,2.5276299008713385,36.425214000000004,FALSE
0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73,2.530199698203082,49.6587,FALSE
0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46,2.531478917042255,37.70442,FALSE
0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33,2.534026106056135,34.715136,FALSE
0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71,2.53655844257153,51.515744999999995,FALSE
0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27,2.537819095073274,32.262375,FALSE
0.3,Ideal,I,SI2,62,54,348,4.31,4.34,2.68,2.5415792439465807,50.130472,FALSE
0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7,2.545307116465824,48.99609000000001,FALSE
0.3,Very Good,J,SI1,62.7,59,351,4.21,4.27,2.66,2.545307116465824,47.818022,FALSE
0.3,Good,I,SI2,63.3,56,351,4.26,4.3,2.71,2.545307116465824,49.64177999999999,FALSE
0.23,Very Good,E,VS2,63.8,55,352,3.85,3.92,2.48,2.546542663478131,37.42816,FALSE
0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41,2.5477747053878224,37.601784,FALSE
0.31,Very Good,J,SI1,59.4,62,353,4.39,4.43,2.62,2.5477747053878224,50.952974,FALSE
0.31,Very Good,J,SI1,58.1,62,353,4.44,4.47,2.59,2.5477747053878224,51.403212,FALSE
0.23,Very Good,G,VVS2,60.4,58,354,3.97,4.01,2.41,2.5490032620257876,38.366477,FALSE
0.24,Premium,I,VS1,62.5,57,355,3.97,3.94,2.47,2.550228353055094,38.635246,FALSE
0.3,Very Good,J,VS2,62.2,57,357,4.28,4.3,2.67,2.552668216112193,49.13868,FALSE
