id,total_bill,tip,sex,smoker,day,time,size
1,16.99,1.01,Female,No,Sun,Dinner,2
3,21.01,3.5,Male,No,Sun,Dinner,3
5,24.59,3.61,Female,No,Sun,Dinner,4
8,26.88,3.12,Male,No,Sun,Dinner,4
11,10.27,1.71,Male,No,Sun,Dinner,2
12,35.26,5,Female,No,Sun,Dinner,4
13,15.42,1.57,Male,No,Sun,Dinner,2
14,18.43,3,Male,No,Sun,Dinner,4
15,14.83,3.02,Female,No,Sun,Dinner,2
17,10.33,1.67,Female,No,Sun,Dinner,3
18,16.29,3.71,Male,No,Sun,Dinner,3
20,20.65,3.35,Male,No,Sat,Dinner,3
21,17.92,4.08,Male,No,Sat,Dinner,2
23,15.77,2.23,Female,No,Sat,Dinner,2
25,19.82,3.18,Male,No,Sat,Dinner,2
27,13.37,2,Male,No,Sat,Dinner,2
28,12.69,2,Male,No,Sat,Dinner,2
31,9.55,1.45,Male,No,Sat,Dinner,2
32,18.35,2.5,Male,No,Sat,Dinner,4
33,15.06,3,Female,No,Sat,Dinner,2
34,20.69,2.45,Female,No,Sat,Dinner,4
35,17.78,3.27,Male,No,Sat,Dinner,2
38,16.93,3.07,Female,No,Sat,Dinner,3
43,13.94,3.06,Male,No,Sun,Dinner,2
44,9.68,1.32,Male,No,Sun,Dinner,2
49,28.55,2.05,Male,No,Sun,Dinner,3
51,12.54,2.5,Male,No,Sun,Dinner,2
55,25.56,4.34,Male,No,Sun,Dinner,4
58,26.41,1.5,Female,No,Sat,Dinner,2
60,48.27,6.73,Male,No,Sat,Dinner,4
62,13.81,2,Male,Yes,Sat,Dinner,2
63,11.02,1.98,Male,Yes,Sat,Dinner,2
65,17.59,2.64,Male,No,Sat,Dinner,3
67,16.45,2.47,Female,No,Sat,Dinner,2
69,20.23,2.01,Male,No,Sat,Dinner,2
71,12.02,1.97,Male,No,Sat,Dinner,2
73,26.86,3.14,Female,Yes,Sat,Dinner,2
74,25.28,5,Female,Yes,Sat,Dinner,2
75,14.73,2.2,Female,No,Sat,Dinner,2
76,10.51,1.25,Male,No,Sat,Dinner,2
77,17.92,3.08,Male,Yes,Sat,Dinner,2
78,27.2,4,Male,No,Thur,Lunch,4
81,19.44,3,Male,Yes,Thur,Lunch,2
83,10.07,1.83,Female,No,Thur,Lunch,1
90,21.16,3,Male,No,Thur,Lunch,2
94,16.32,4.3,Female,Yes,Fri,Dinner,2
95,22.75,3.25,Female,No,Fri,Dinner,2
96,40.17,4.73,Male,Yes,Fri,Dinner,4
97,27.28,4,Male,Yes,Fri,Dinner,2
98,12.03,1.5,Male,Yes,Fri,Dinner,2
99,21.01,3,Male,Yes,Fri,Dinner,2
100,12.46,1.5,Male,No,Fri,Dinner,2
101,11.35,2.5,Female,Yes,Fri,Dinner,2
102,15.38,3,Female,Yes,Fri,Dinner,2
103,44.3,2.5,Female,Yes,Sat,Dinner,3
104,22.42,3.48,Female,Yes,Sat,Dinner,2
106,15.36,1.64,Male,Yes,Sat,Dinner,2
107,20.49,4.06,Male,Yes,Sat,Dinner,2
109,18.24,3.76,Male,No,Sat,Dinner,2
111,14,3,Male,No,Sat,Dinner,2
115,25.71,4,Female,No,Sun,Dinner,3
116,17.31,3.5,Female,No,Sun,Dinner,2
117,29.93,5.07,Male,No,Sun,Dinner,4
118,10.65,1.5,Female,No,Thur,Lunch,2
122,13.42,1.68,Female,No,Thur,Lunch,2
125,12.48,2.52,Female,No,Thur,Lunch,2
128,14.52,2,Female,No,Thur,Lunch,2
129,11.38,2,Female,No,Thur,Lunch,2
130,22.82,2.18,Male,No,Thur,Lunch,3
133,11.17,1.5,Female,No,Thur,Lunch,2
134,12.26,2,Female,No,Thur,Lunch,2
135,18.26,3.25,Female,No,Thur,Lunch,2
136,8.51,1.25,Female,No,Thur,Lunch,2
138,14.15,2,Female,No,Thur,Lunch,2
139,16,2,Male,Yes,Thur,Lunch,2
140,13.16,2.75,Female,No,Thur,Lunch,2
142,34.3,6.7,Male,No,Thur,Lunch,6
143,41.19,5,Male,No,Thur,Lunch,5
146,8.35,1.5,Female,No,Thur,Lunch,2
148,11.87,1.63,Female,No,Thur,Lunch,2
149,9.78,1.73,Male,No,Thur,Lunch,2
152,13.13,2,Male,No,Sun,Dinner,2
153,17.26,2.74,Male,No,Sun,Dinner,3
156,29.85,5.14,Female,No,Sun,Dinner,5
157,48.17,5,Male,No,Sun,Dinner,6
160,16.49,2,Male,No,Sun,Dinner,4
163,16.21,2,Female,No,Sun,Dinner,3
165,17.51,3,Female,Yes,Sun,Dinner,2
175,16.82,4,Male,Yes,Sun,Dinner,2
176,32.9,3.11,Male,Yes,Sun,Dinner,2
178,14.48,2,Male,Yes,Sun,Dinner,2
179,9.6,4,Female,Yes,Sun,Dinner,2
180,34.63,3.55,Male,Yes,Sun,Dinner,2
181,34.65,3.68,Male,Yes,Sun,Dinner,4
184,23.17,6.5,Male,Yes,Sun,Dinner,4
192,19.81,4.19,Female,Yes,Thur,Lunch,2
193,28.44,2.56,Male,Yes,Thur,Lunch,2
196,7.56,1.44,Male,No,Thur,Lunch,2
200,13.51,2,Male,Yes,Thur,Lunch,2
201,18.71,4,Male,Yes,Thur,Lunch,3
204,16.4,2.5,Female,Yes,Thur,Lunch,2
205,20.53,4,Male,Yes,Thur,Lunch,4
206,16.47,3.23,Female,Yes,Thur,Lunch,3
208,38.73,3,Male,Yes,Sat,Dinner,4
209,24.27,2.03,Male,Yes,Sat,Dinner,2
210,12.76,2.23,Female,Yes,Sat,Dinner,2
216,12.9,1.1,Female,Yes,Sat,Dinner,2
217,28.15,3,Male,Yes,Sat,Dinner,5
218,11.59,1.5,Male,Yes,Sat,Dinner,2
220,30.14,3.09,Female,Yes,Sat,Dinner,4
222,13.42,3.48,Female,Yes,Fri,Lunch,2
223,8.58,1.92,Male,Yes,Fri,Lunch,1
224,15.98,3,Female,No,Fri,Lunch,3
225,13.42,1.58,Male,Yes,Fri,Lunch,2
226,16.27,2.5,Female,Yes,Fri,Lunch,2
227,10.09,2,Female,Yes,Fri,Lunch,2
229,13.28,2.72,Male,No,Sat,Dinner,2
234,10.77,1.47,Male,No,Sat,Dinner,2
236,10.07,1.25,Male,No,Sat,Dinner,2
239,35.83,4.67,Female,No,Sat,Dinner,3
241,27.18,2,Female,Yes,Sat,Dinner,2
244,18.78,3,Female,No,Thur,Dinner,2
